Season,Size
Winter,187.0238083
Winter,196.0054307
Winter,189.1649723
Winter,185.4392171
Winter,189.9989481
Winter,186.1503078
Winter,198.805802
Winter,194.0245434
Winter,198.5531163
Winter,184.7828358
Winter,183.8468712
Winter,182.2081181
Winter,195.9176828
Winter,184.2327602
Winter,189.6754475
Winter,190.9147711
Winter,194.082022
Winter,194.8297494
Winter,197.1914218
Winter,192.3486479
Winter,186.1313997
Winter,190.3003202
Winter,192.0063294
Winter,203.9621595
Winter,186.3871607
Fall,245.8660879
Fall,243.0569955
Fall,242.3599297
Fall,229.3698127
Fall,235.3553445
Fall,232.3357388
Fall,234.2017757
Fall,238.3616628
Fall,238.740167
Fall,252.3632798
Fall,236.2421249
Fall,244.1973565
Fall,245.8631457
Fall,241.5231009
Fall,243.2086633
Fall,246.1500429
Fall,239.7688697
Fall,247.953855
Fall,233.5068761
Fall,243.6316557
Fall,228.188961
Fall,242.0094279
Fall,240.1530925
Fall,236.6477739
Summer,241.3247448
Summer,241.2110327
Summer,239.9282342
Summer,239.2915364
Summer,232.9469238
Summer,233.9315947
Summer,241.6377346
Summer,242.4964429
Summer,245.1040568
Summer,235.7354238
Summer,247.9594763
Summer,223.9907071
Summer,228.0061908
Summer,227.8191769
Summer,235.7926934
Summer,239.1383079
Summer,224.55629
Summer,238.8547021
Summer,238.4727593
Summer,230.6492703
Summer,244.3903361
Summer,235.0016069
Summer,239.156843
Summer,233.0568426
Summer,229.9958573
Spring,213.2393522
Spring,208.8959475
Spring,211.6312544
Spring,202.0121328
Spring,198.7995159
Spring,210.3364473
Spring,212.1523245
Spring,210.0645233
Spring,200.7962776
Spring,198.4046561
Spring,209.493164
Spring,202.285537
Spring,199.4852876
Spring,203.0438496
Spring,205.0490625
Spring,192.7934128
Spring,201.427252
Spring,202.6106626
Spring,213.2664204
Spring,203.0302573
Spring,193.2808907
