Velocity,Volume,Sediment
0.268415699,10751.60537,166.0968927
3.590433175,9433.537235,160.8166634
3.19146063,12145.62336,205.4998932
2.450779817,9180.212561,158.8807009
2.831099638,12275.22956,200.9385737
4.014846456,13902.44619,228.9957581
3.250940516,9102.411987,161.9003721
2.57076216,12420.71656,205.1645781
3.077387211,11988.50961,191.9763916
1.887746057,8585.890635,145.9877161
3.342620251,13065.90753,215.4963721
3.385708271,10659.99637,179.2913486
0.072893268,8595.624169,140.4411899
4.648124882,11794.37364,201.2518218
3.845531761,14090.40704,227.7468307
0.769428826,13789.11238,216.1923153
0.992512292,9793.016946,164.2020858
1.892106922,9419.755217,145.4487028
0.392865628,8371.314759,135.5610725
2.377149993,11539.59905,192.8185854
2.012079152,7556.193595,132.9121488
0.974035464,9059.714266,147.1595247
0.986432854,7276.294428,120.8834781
3.164845533,12569.39441,206.5496916
0.651322642,12219.50943,195.0151087
1.332386689,5004.659848,86.91740108
3.280128748,8293.419403,139.3963924
2.053302449,10718.25509,178.0971173
1.040928571,8214.597382,137.7756484
3.723729393,7954.428225,139.8902426
0.381660242,13759.93544,218.7750511
4.398406437,14746.27544,234.0126455
1.803855764,7702.718118,125.6793987
4.271302669,12493.60895,208.696263
4.062938674,14092.77099,237.1339015
4.796041494,14802.37288,242.3331177
2.263113153,13217.67318,203.9254017
1.284271153,6274.480541,99.96649846
3.035735427,9598.07938,167.0378713
3.296328409,11605.49496,193.4509275
1.135318781,9932.089291,165.8274058
2.07206334,6642.642113,119.1826779
0.793531603,4193.566855,74.9540811
3.95824047,14197.16523,222.631825
1.88706903,12755.80119,203.5444296
1.368695409,12052.26009,199.7320682
4.090053867,14878.43318,243.947537
0.483297377,5773.70641,93.50561263
3.383958657,12385.63948,207.0818512
0.662115309,11142.29595,175.9466265
1.685185847,9979.871826,159.7136255
1.96529851,10023.24246,172.5707819
1.797920809,6781.282933,111.2975838
0.461715261,8565.471956,132.4950495
1.254670059,10518.64372,167.2212466
3.286552184,9639.7652,156.861983
2.208583307,12760.66168,205.704126
4.621599517,9470.926882,158.0866103
4.191042975,14581.96913,238.4781496
1.0526337,7480.12782,130.234713
1.972534973,7765.680095,130.7695781
2.099466352,12752.92877,205.4709492
2.152307585,10989.87127,182.118915
4.705563168,11551.57288,194.4211054
1.783643054,10548.26961,175.0201849
3.89985396,9454.5768,156.1066867
0.643190974,9808.541309,153.4744352
0.693412824,11738.83188,182.7372462
3.803450071,11635.10558,198.5435697
1.04782644,8035.666071,124.852318
2.185057329,10285.0883,174.0994931
3.939499253,12446.77598,203.1689348
2.119080042,11197.69238,186.8859538
3.47548522,10000.76237,173.7867864
