PreyDens,PreyKilled
2.56461441,4.02426866
8.555971117,10.87402373
8.35700798,10.62002346
2.335362536,1.65368402
2.90808058,0.842462992
0.183464569,0.116824247
8.858284462,5.875260641
0.270291476,0.023804695
1.049915094,1.478184855
5.287620233,4.72590143
9.354329879,13.52959705
5.057861573,3.060639623
7.285433643,6.94036386
5.301551227,10.77327087
6.708101613,-2.208677989
6.48262304,8.906437355
1.930270016,0.76631012
2.960997171,5.767200639
7.44861604,2.578942158
0.274873008,0.063019175
9.797660046,8.602032649
0.36082737,0.22591093
4.696051154,4.413939358
3.601564907,5.716317318
7.783631693,13.93380484
1.408575363,-0.021927169
9.093716822,13.11977469
7.140397572,8.136172061
6.449227211,10.06602915
