RoadDens,ProbUse
4.292778962,0.367176406
1.78568009,0.394040028
7.937517514,0.358838141
5.605040348,0.459561026
3.765733196,0.437039926
1.961130719,0.323828137
6.584637258,0.400702671
2.209390322,0.445561568
2.055503136,0.327920549
8.272474867,0.39585139
6.108329985,0.435459625
8.612938,0.247185681
0.943089721,0.308276958
2.114862747,0.374013248
3.987750887,0.485291956
9.680972435,0.274294403
2.19598525,0.33852078
5.998010836,0.443839107
4.017647612,0.437760094
7.781415693,0.371662714
6.723759126,0.389879101
3.407240776,0.440201696
8.827470618,0.366371164
6.022514274,0.438482288
1.284081364,0.269531017
1.279784404,0.311345815
3.869855442,0.348945263
2.064723263,0.396281125
9.720589108,0.288285393
0.975148296,0.246488315
4.178299573,0.435383683
0.884322875,0.205876456
7.505787748,0.411999744
5.27231894,0.509633499
8.919266192,0.28425019
4.858767232,0.439180851
2.217764791,0.365564404
9.117767621,0.33079262
0.620639145,0.265530139
3.942206224,0.489931673
0.029549355,0.256022521
9.252616936,0.27269847
1.149307539,0.283055777
4.65224523,0.4689069
8.687257362,0.241187336
4.713790531,0.548134779
6.50591897,0.393651082
0.476747297,0.252919928
9.529773108,0.223352711
2.163190612,0.376968965
8.136120543,0.282467442
7.937807866,0.313646198
3.657597694,0.368852836
1.334956508,0.346581372
9.308165902,0.121945775
5.367916708,0.483434795
7.909701931,0.352648269
2.239346542,0.420833402
9.698506525,0.132498672
5.574954743,0.513153168
5.706953206,0.517498378
9.689908355,0.327980566
0.847997277,0.348110407
0.955333017,0.363090836
4.309874666,0.523853714
7.109582661,0.459411093
9.801307626,0.293581547
2.062900505,0.356473602
7.228553786,0.43504752
7.043650922,0.373312766
4.425459456,0.399616266
2.096447167,0.364835233
1.860329253,0.263450816
6.422332217,0.475237814
9.168742284,0.317979716
3.028195831,0.437877148
4.91237401,0.496117918
6.963729362,0.408346486
0.65262622,0.179416608
9.12164699,0.275814719
8.432193081,0.439301124
1.218891461,0.26654599
8.56707815,0.248871568
7.561697563,0.458564914
5.330601677,0.422712326
3.875861846,0.382922299
7.864181121,0.443223975
1.644370073,0.271451495
4.850458816,0.430777452
6.040246896,0.493651156
9.011466243,0.375399234
6.446681824,0.45397383
6.92016595,0.504683435
3.266703181,0.561492651
5.036226847,0.369127102
7.092113544,0.418510656
7.605906143,0.353058935
3.549148943,0.492065445
8.748745515,0.273835781
