Habitat,QuailDens
OpenPine,0.768616418
OpenPine,0.375525778
OpenPine,0.478311608
OpenPine,0.27348751
OpenPine,-0.229816208
OpenPine,0.641067927
OpenPine,0.647744509
OpenPine,0.583412232
OpenPine,0.391191385
OpenPine,0.173602667
Prairie,0.950574604
Prairie,0.345350517
Prairie,0.409639392
Prairie,0.113954461
Prairie,0.589284272
Prairie,0.64389537
Prairie,0.604710242
Prairie,-0.124677697
Prairie,-0.099418691
Prairie,0.9385808
ClosedPine,0.707496127
ClosedPine,1.000241111
ClosedPine,0.844786226
ClosedPine,1.115886263
ClosedPine,0.806947692
ClosedPine,0.993835989
ClosedPine,0.559418671
ClosedPine,0.605431115
ClosedPine,0.793054605
ClosedPine,0.483148193
Ag,1.196418877
Ag,1.322213008
Ag,0.644863525
Ag,0.805195124
Ag,0.816056003
Ag,1.014787569
Ag,0.528272733
Ag,0.932951271
Ag,0.416289744
Ag,0.483365067
