Sediment,Organic,Clarity
-2.457652912,1.420893156,50.46320881
37.9910072,57.36001752,37.06817784
39.62261801,41.84562225,33.24883243
70.19999814,86.20140326,21.87580289
20.93451302,19.98268097,43.78791243
74.09173604,83.47280686,18.01698616
49.18489516,34.62872519,31.1287572
70.00461282,99.78235184,23.97171309
94.1984901,102.3061896,14.02184381
80.55733155,100.6512434,18.04204221
73.63590538,53.22038218,22.89181023
84.56905182,99.68294266,16.83577799
60.07353688,51.47883598,25.66142376
48.06734487,64.2397946,29.11757304
69.41135357,54.76248567,25.16915594
7.769700726,32.87341686,47.90731422
72.66659378,58.15642969,18.62550945
81.58444368,74.96506382,17.88207791
26.40942041,11.57144592,37.54406878
18.531118,13.64547776,40.74614135
33.64946473,42.97555051,37.85887364
85.91219929,70.64823672,15.81959802
15.60330219,15.48677576,46.31948139
28.09391895,20.07341147,36.66818957
43.69041998,50.05850124,34.08018082
47.25345983,41.27661655,29.3727178
93.80414129,78.0363302,12.39432263
28.08584449,-4.440409293,42.7359399
29.08277183,19.46358806,31.01808268
3.961767466,-12.1378671,49.09171333
20.8092327,24.767245,41.30950508
74.44233969,50.23501569,13.519174
17.90795136,18.40159088,45.30002195
70.02598487,58.52643396,14.95536773
38.56821662,58.48290139,34.28661817
88.81132551,103.4480048,15.41483358
63.05762669,42.66827405,23.35849379
83.67896429,94.77138777,17.42731762
99.10516729,87.90476351,13.88334613
85.75666027,85.59924273,15.98542737
45.18385956,53.4716617,29.15207598
10.23887392,18.34897946,46.48008807
13.06063473,6.318340065,46.07271334
81.00617384,84.61331751,17.27253753
46.50623912,63.26381126,32.12341416
70.17969952,74.83232199,21.04531068
7.074100416,32.34100487,48.96406033
66.72699967,99.68281368,20.99042045
52.00508653,57.88445984,28.09608999
65.4375671,114.8597736,20.6602886
61.75089111,68.03676004,24.08587553
28.88590738,3.272079524,42.23398493
57.05543959,76.59111955,29.85847316
82.68813855,69.83323695,19.71789994
-0.147033591,12.41533954,48.68002689
29.29679673,45.3352621,39.31413392
68.0200766,57.95760015,24.22753612
70.3651192,87.89761818,17.03340336
6.354031701,7.938074796,48.09807961
52.92235552,33.94088198,25.0992738
19.68109453,24.8301992,39.77356623
24.93843161,18.94832164,41.54184335
63.02635813,80.38305771,19.98420531
84.47525782,76.75734055,17.64854191
94.01304877,83.47082085,11.26704841
47.86707686,30.77299117,30.17354155
95.20333371,100.4116703,13.18325185
24.22819853,24.91174183,40.7621178
9.16183717,1.143805002,44.75374785
8.656193466,-1.546186862,50.56981768
81.96686153,53.42237392,13.64667458
76.23709831,77.99247579,21.85455164
20.46068,18.68472612,38.4430357
28.80524876,28.18586817,37.56944834
39.4056728,48.01588165,30.55355727
44.72352359,36.44387815,28.22616245
81.86244977,58.13586185,17.5267051
96.17667451,57.28561891,10.24764467
33.30496811,27.2605003,35.90516165
34.91598944,4.193512568,36.4901663
-0.863328233,8.127115451,47.77189054
80.16505265,95.28705297,18.96140606
-1.039804349,3.030501763,49.17284329
9.003755145,32.40006224,45.81032334
14.15897245,13.37657241,46.07512403
84.58838946,76.08794471,13.05707132
5.748730124,13.72841169,50.0046422
76.41005869,71.98808701,19.55860754
75.62616593,39.69877991,20.99150997
22.46122316,17.72601531,40.58398529
2.467409109,11.30156612,47.7473035
23.84615042,15.48227109,40.97603049
69.8382713,67.0642406,23.32721081
23.37198436,43.01862682,40.47291527
36.52065097,20.21186851,37.56227446
8.68314063,-14.83632452,45.42673142
50.13374311,60.47145941,29.88901865
22.02476487,6.263490507,44.29974114
20.1318647,63.21274011,41.12935643
40.83328587,72.36405296,36.0103945
